---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:41 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9201
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 63
flow.mgr.flows_notimeout                                     | Total                     | 62
flow.mgr.flows_timeout                                       | Total                     | 1
flow.mgr.flows_evicted                                       | Total                     | 1
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 1
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 1605632
http.memuse                                                  | Total                     | 4368
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:53 (uptime: 0d, 00h 01m 20s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 4024
capture.afpacket.polls                                       | Total                     | 6714
capture.afpacket.poll_timeout                                | Total                     | 5896
capture.afpacket.poll_data                                   | Total                     | 818
decoder.pkts                                                 | Total                     | 4170
decoder.bytes                                                | Total                     | 1593853
decoder.ipv4                                                 | Total                     | 4170
decoder.ethernet                                             | Total                     | 4170
decoder.tcp                                                  | Total                     | 4170
tcp.syn                                                      | Total                     | 182
tcp.synack                                                   | Total                     | 182
decoder.avg_pkt_size                                         | Total                     | 382
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 177
flow.total                                                   | Total                     | 195
flow.active                                                  | Total                     | 190
flow.tcp                                                     | Total                     | 195
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 182
tcp.ssn_from_pool                                            | Total                     | 182
tcp.segment_from_cache                                       | Total                     | 1532
tcp.segment_from_pool                                        | Total                     | 89
tcp.overlap                                                  | Total                     | 44
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
app_layer.flow.tls                                           | Total                     | 168
